source,id,comment_dl,post_time,product_id,star_rating,update_time,user_id
tiki.vn,1316158,"- sắp xếp chưa tốt: những truyện như Lạc Long Quân - Âu Cơ thì phải xếp lên đầu.
- Sơn Tinh - Thủy Tinh thì không thấy 'voi chín ngà' đâu.
- làm thơ còn lủng củng, thiếu hấp dẫn, mang tính chất văn xuôi hơn là thơ.",,601472,3,,1764037
tiki.vn,2472739,"Truyện minh họa tươi sáng, thơ kể hay và đôi chỗ đọc khá vui, hài hước. Mình thấy minh họa tốt hơn cuốn truyện cổ tích thế giới bằng thơ.",,601472,4,,5628824
tiki.vn,3180679,"Mình vừa nhận được giấy. Phần vỏ bọc đã bị rách, một bên có dán băng dính lại. Như vậy là không phải hư hỏng trong quá trình vận chuyển, mà là từ phía nhà cũng cấp.
Có vẻ như không làm ảnh hưởng gì đến giấy ở trong bọc lắm, nhưng mình vẫn thấy không được hoàn toàn hài lòng.
Đánh giá 4* vì sáng hôm qua đặt, sáng hôm nay đã có.",,509829,4,,16289254
tiki.vn,4752642,"Sách bị móp( góc hộp có lỗ hổng rách mà mình quên ko chụp ). Nội dung chính đã xem qua khá hũu ích, có điều sách đóng chưa chỉnh chu lặp lại số lượng trang lớn từ trang 65 đến trang 72 và từ trang 73 đến trang 80",,3718031,4,,15342727
tiki.vn,4766934,"Sách được bọc nilon cẩn thận. giấy in dày và chất lượng. Mực in màu rõ nét và đều. Có kèm mã đăng nhập khóa học onl rất bổ ích. Về nội dung thì mình đánh giá cao cuốn này vì lượng kiến thức mới mẻ, sát với hoàn cảnh Việt Nam và cách viết cũng súc tích, dễ hiểu. Với mình cuốn này xứng đáng số tiền 2***đ và mình khuyến khích mọi người nên mua.",,53434797,5,,57832
tiki.vn,4773471,"Trình bày dưới dạng truyện tranh, mang tính biếm họa.
Trình bày cô đọng dễ hiểu diễn biến kinh tế thế giới từ cuối t.kỷ 17 đến năm 2011.

5* cho cuốn sách, nhưng cách đóng gói của tiki ngày càng kém. Các cuốn sách chạy lọc xọc trong hộp giấy, hộp là loại cac-tong mủn dễ ngấm nước, mềm oặt.",,44976191,4,,7918580
tiki.vn,5216407,"Đã mua lần thứ 3 cuốn này. Đọc hay quá mua  tặng bạn bè, người thân. Chết không đáng sợ, đáng sợ là khi còn nhiều điều dang dở muốn làm, có nhiều người mình muốn che chở, nuối tiếc nhưng vẫn chiến đấu đến giờ phút cuối cùng. Sách hay và ý nghĩa. Nhận ra sống đừng chờ đợi, việc gì muốn làm cho mình và cho người thân yêu thì hãy làm hết đi, để đừng hối tiếc nếu xảy ra chuyện gì..",,750578,5,,1592998
tiki.vn,5246370,"Nội dung cuốn sách rất tốt, trình bày đẹp, chất lượng giấy tốt, bookcare chấp nhận được. Cuốn sách trình bày khá sinh động và hóm hỉnh, dễ hiểu cả với những người bắt đầu tìm hiểu về kinh tế học như mình. Tuy nhiên mình chỉ cho 4 sao vì chất lượng dịch thuật chưa tốt lắm, nhiều đoạn dịch khá khó hiểu, có lẽ đây là lần xuất bản đầu tiên nên chưa được kiểm định và sửa lỗi.",,44976191,4,,480870
tiki.vn,5308245,"Vì tác giả của cuốn này là một lính đặc nhiệm SEAL nên là các chia sẻ về mẹo sinh tồn rất đa dạng - từ sơ cứu đến tự vệ, bảo vệ bản thân ở nơi thành thị cũng như nơi hoang vu, chuẩn bị cần có khi đi du lịch một mình, khi sử dụng các phương tiện công cộng (tàu, máy bay). Mỗi kinh nghiệm được trình bày ngắn gọn, có hình minh họa dễ hiểu.

Có nhiều trường hợp mình không nghĩ là phổ biến tại Việt Nam (sơ cứu khi trúng đạn, lở tuyết, không tặc khống chế...). Tuy nhiên biết được kỹ năng đó thì vẫn hơn nhỉ, vì ai biết được tương lai có đi nước ngoài, nhỡ gặp trường hợp rủi ro đó thì sao.",,275243125,4,,264366
tiki.vn,5360966,"Sách mới. Nội dung thì khỏi phải bàn rồiiiiii. Đúng với cái tên cuốn sách ảnh hưởng nhất mọi thời đại. Mọi người quyết mua nhanh mang về đọc nhaaaa. Dịch vụ tiki tuyệt vời. Tối hôm trước đặt hàng mà sáng hôm sau mở mắt anh ship đã gọi rồi. Anh rất thân thiện. Cảm ơn anh, cảm ơn tiki nhiều nha.",,54266567,5,,7038371
tiki.vn,5394134,"Đây là cuốn sách cực kỳ hữu ích cho những ai quan tâm đến sức khỏe, những thông tin mà có lẽ không tìm thấy được ở bất cứ nơi đâu! Thật là hạnh phúc khi được đọc cuốn sách này.Chân thành cảm ơn tác giả ???",,276507439,5,,11486368
tiki.vn,5425304,"Mình thấy cuốn này hơi bị ảo ấy.
Tác giả không rõ vấn đề chuyên khoa mà.
Nhưng đọc thì cũng ổn mà phải biết chắt lọc cơ. Mình thấy mua sale thì ổn chứ không thì hơi tiếc.
Giấy ngả vàng đọc không bị đau mắt
Sách khổ vuông vuông kì ghê",,276507439,5,,5977902
tiki.vn,5904400,"Mua cả combo nhận hàng nhìn cái thùng giống như Tiki lượm cái thùng từ trong thùng rác ra gói cho khách vậy đó. Mở thùng ra thì giấy kiếng bọc 16 quyển bung bét hết, có mấy quyển bị cuốn góc lại. Tiki làm ăn ngày càng cẩu thả ở khâu đóng gói, làm vậy riết rồi ai mua. Đánh giá 5* cho bộ sách chất lượng, còn Tiki thì có âm sao mình cũng đánh âm nữa. Cái việc đóng gói cẩu thả khách đã phản ánh biết bao nhiêu lần mà hình như Tiki không có tiếp thu hay sao á.",,72689369,5,,168074
